Info	Strain	Culture	Growth	Gene	Value
B32C	B32_SW	co-cultures	Explant	PomA	1.500161545
B32C	B32_SW	co-cultures	Explant	PomA	1.544904555
B32	B32_SW	Strain	Bacteria alone	PomA	4.832037696
B32	B32_SW	Strain	Bacteria alone	PomA	5.900964004
CAMC	CAM	co-cultures	Explant	PomA	1.242941895
CAMC	CAM	co-cultures	Explant	PomA	1.572388392
CAM	CAM	Strain	Bacteria alone	PomA	1.544904555
CAM	CAM	Strain	Bacteria alone	PomA	1.832021982
MSGC	129_MSG	co-cultures	Explant	PomA	2.516389318
MSGC	129_MSG	co-cultures	Explant	PomA	2.830299105
MSG	129_MSG	Strain	Bacteria alone	PomA	2.813711781
MSG	129_MSG	Strain	Bacteria alone	PomA	3.164711389
VTPPC	129_VTPP	co-cultures	Explant	PomA	1.500161545
VTPPC	129_VTPP	co-cultures	Explant	PomA	1.51790111
VTPP	129_VTPP	Strain	Bacteria alone	PomA	2.70029078
VTPP	129_VTPP	Strain	Bacteria alone	PomA	1.886662883
B91C	B91_SC	co-cultures	Explant	PomA	1.124746113
B91C	B91_SC	co-cultures	Explant	PomA	1.373558475
B91	B91_SC	Strain	Bacteria alone	PomA	1.060540482
B91	B91_SC	Strain	Bacteria alone	PomA	1.165120521
B32C	B32_SW	co-cultures	Explant	TonB	0.002162495
B32C	B32_SW	co-cultures	Explant	TonB	0.002952905
B32	B32_SW	Strain	Bacteria alone	TonB	0.001159755
B32	B32_SW	Strain	Bacteria alone	TonB	0.001019075
CAMC	CAM	co-cultures	Explant	TonB	3.864797662
CAMC	CAM	co-cultures	Explant	TonB	4.147242805
CAM	CAM	Strain	Bacteria alone	TonB	4.747578326
CAM	CAM	Strain	Bacteria alone	TonB	5.215737661
MSGC	129_MSG	co-cultures	Explant	TonB	1.853685831
MSGC	129_MSG	co-cultures	Explant	TonB	1.810611315
MSG	129_MSG	Strain	Bacteria alone	TonB	1.648092676
MSG	129_MSG	Strain	Bacteria alone	TonB	1.431252401
VTPPC	129_VTPP	co-cultures	Explant	TonB	1.648092676
VTPPC	129_VTPP	co-cultures	Explant	TonB	1.842822072
VTPP	129_VTPP	Strain	Bacteria alone	TonB	3.797244717
VTPP	129_VTPP	Strain	Bacteria alone	TonB	1.526849403
B91C	B91_SC	co-cultures	Explant	TonB	3.31707973
B91C	B91_SC	co-cultures	Explant	TonB	4.050872388
B91	B91_SC	Strain	Bacteria alone	TonB	3.774990487
B91	B91_SC	Strain	Bacteria alone	TonB	3.665660471
B32C	B32_SW	co-cultures	Explant	HopAH2-2	0.639724371
B32C	B32_SW	co-cultures	Explant	HopAH2-2	0.804542838
B32	B32_SW	Strain	Bacteria alone	HopAH2-2	0.732327887
B32	B32_SW	Strain	Bacteria alone	HopAH2-2	0.666594877
CAMC	CAM	co-cultures	Explant	HopAH2-2	2.949180878
CAMC	CAM	co-cultures	Explant	HopAH2-2	3.202134429
CAM	CAM	Strain	Bacteria alone	HopAH2-2	2.716209468
CAM	CAM	Strain	Bacteria alone	HopAH2-2	2.797221669
MSGC	129_MSG	co-cultures	Explant	HopAH2-2	0.374709683
MSGC	129_MSG	co-cultures	Explant	HopAH2-2	0.339077202
MSG	129_MSG	Strain	Bacteria alone	HopAH2-2	0.36600247
MSG	129_MSG	Strain	Bacteria alone	HopAH2-2	0.452253689
VTPPC	129_VTPP	co-cultures	Explant	HopAH2-2	0.617556285
VTPPC	129_VTPP	co-cultures	Explant	HopAH2-2	0.67052457
VTPP	129_VTPP	Strain	Bacteria alone	HopAH2-2	0.702807677
VTPP	129_VTPP	Strain	Bacteria alone	HopAH2-2	0.526930054
B91C	B91_SC	co-cultures	Explant	HopAH2-2	2.576254321
B91C	B91_SC	co-cultures	Explant	HopAH2-2	3.81963014
B91	B91_SC	Strain	Bacteria alone	HopAH2-2	2.576254321
B91	B91_SC	Strain	Bacteria alone	HopAH2-2	2.30402378
B32C	B32_SW	co-cultures	Explant	HlyD	8.04E-05
B32C	B32_SW	co-cultures	Explant	HlyD	0.000247172
B32	B32_SW	Strain	Bacteria alone	HlyD	4.02E-05
B32	B32_SW	Strain	Bacteria alone	HlyD	6.55E-05
CAMC	CAM	co-cultures	Explant	HlyD	0.000618336
CAMC	CAM	co-cultures	Explant	HlyD	0.00056949
CAM	CAM	Strain	Bacteria alone	HlyD	0.000524503
CAM	CAM	Strain	Bacteria alone	HlyD	0.000521429
MSGC	129_MSG	co-cultures	Explant	HlyD	0.310461474
MSGC	129_MSG	co-cultures	Explant	HlyD	0.261805453
MSG	129_MSG	Strain	Bacteria alone	HlyD	0.241124054
MSG	129_MSG	Strain	Bacteria alone	HlyD	0.251252049
VTPPC	129_VTPP	co-cultures	Explant	HlyD	0.491043842
VTPPC	129_VTPP	co-cultures	Explant	HlyD	0.555555556
VTPP	129_VTPP	Strain	Bacteria alone	HlyD	0.562125057
VTPP	129_VTPP	Strain	Bacteria alone	HlyD	0.404464437
B91C	B91_SC	co-cultures	Explant	HlyD	0.000141413
B91C	B91_SC	co-cultures	Explant	HlyD	0.000200033
B91	B91_SC	Strain	Bacteria alone	HlyD	0.000154448
B91	B91_SC	Strain	Bacteria alone	HlyD	0.00017995
B32C	B32_SW	co-cultures	Explant	Acca	6.637086327
B32C	B32_SW	co-cultures	Explant	Acca	6.875334252
B32	B32_SW	Strain	Bacteria alone	Acca	6.258211206
B32	B32_SW	Strain	Bacteria alone	Acca	9.009883367
CAMC	CAM	co-cultures	Explant	Acca	0.171467764
CAMC	CAM	co-cultures	Explant	Acca	0.215644687
CAM	CAM	Strain	Bacteria alone	Acca	0.172478597
CAM	CAM	Strain	Bacteria alone	Acca	0.188376223
MSGC	129_MSG	co-cultures	Explant	Acca	4.424247742
MSGC	129_MSG	co-cultures	Explant	Acca	3.24
MSG	129_MSG	Strain	Bacteria alone	Acca	2.576254321
MSG	129_MSG	Strain	Bacteria alone	Acca	2.501641702
VTPPC	129_VTPP	co-cultures	Explant	Acca	7.963645936
VTPPC	129_VTPP	co-cultures	Explant	Acca	7.206354412
VTPP	129_VTPP	Strain	Bacteria alone	Acca	5.215737661
VTPP	129_VTPP	Strain	Bacteria alone	Acca	8.105319115
B91C	B91_SC	co-cultures	Explant	Acca	0.005222324
B91C	B91_SC	co-cultures	Explant	Acca	0.004032217
B91	B91_SC	Strain	Bacteria alone	Acca	0.006567802
B91	B91_SC	Strain	Bacteria alone	Acca	0.007652281
B32C	B32_SW	co-cultures	Explant	FlaB	4.050872388
B32C	B32_SW	co-cultures	Explant	FlaB	2.863767685
B32	B32_SW	Strain	Bacteria alone	FlaB	2.622085859
B32	B32_SW	Strain	Bacteria alone	FlaB	3.416013164
CAMC	CAM	co-cultures	Explant	FlaB	0.00344049
CAMC	CAM	co-cultures	Explant	FlaB	0.00393852
CAM	CAM	Strain	Bacteria alone	FlaB	7.28E-05
CAM	CAM	Strain	Bacteria alone	FlaB	7.63E-05
MSGC	129_MSG	co-cultures	Explant	FlaB	3.730872533
MSGC	129_MSG	co-cultures	Explant	FlaB	2.486980516
MSG	129_MSG	Strain	Bacteria alone	FlaB	0.284260712
MSG	129_MSG	Strain	Bacteria alone	FlaB	0.948474097
VTPPC	129_VTPP	co-cultures	Explant	FlaB	6.332215202
VTPPC	129_VTPP	co-cultures	Explant	FlaB	10.1338313
VTPP	129_VTPP	Strain	Bacteria alone	FlaB	6.956635791
VTPP	129_VTPP	Strain	Bacteria alone	FlaB	9.224228854
B91C	B91_SC	co-cultures	Explant	FlaB	0.019598685
B91C	B91_SC	co-cultures	Explant	FlaB	0.001113005
B91	B91_SC	Strain	Bacteria alone	FlaB	0.004055988
B91	B91_SC	Strain	Bacteria alone	FlaB	0.039214664
