num_genomes	num_genes	type
1	2195	shared
1	2195	new
1	2195	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2192	shared
1	2192	new
1	2192	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2196	shared
1	2196	new
1	2196	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	2196	shared
1	2196	new
1	2196	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	2196	shared
1	2196	new
1	2196	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2192	shared
1	2192	new
1	2192	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	1934	shared
1	1934	new
1	1934	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2196	shared
1	2196	new
1	2196	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	2195	shared
1	2195	new
1	2195	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2230	shared
1	2230	new
1	2230	pangenome
1	2115	shared
1	2115	new
1	2115	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2036	shared
1	2036	new
1	2036	pangenome
1	2196	shared
1	2196	new
1	2196	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
1	2157	shared
1	2157	new
1	2157	pangenome
1	1992	shared
1	1992	new
1	1992	pangenome
2	1191	shared
2	743	new
2	2938	pangenome
2	1391	shared
2	801	new
2	2837	pangenome
2	1175	shared
2	940	new
2	2874	pangenome
2	2030	shared
2	6	new
2	2042	pangenome
2	1394	shared
2	642	new
2	2834	pangenome
2	1733	shared
2	463	new
2	2578	pangenome
2	1493	shared
2	702	new
2	2694	pangenome
2	1474	shared
2	518	new
2	2675	pangenome
2	1491	shared
2	501	new
2	2697	pangenome
2	1474	shared
2	683	new
2	2675	pangenome
2	1397	shared
2	639	new
2	2869	pangenome
2	1395	shared
2	801	new
2	2837	pangenome
2	2186	shared
2	9	new
2	2205	pangenome
2	1188	shared
2	1004	new
2	2938	pangenome
2	1184	shared
2	852	new
2	2786	pangenome
2	1395	shared
2	801	new
2	2837	pangenome
2	1743	shared
2	449	new
2	2679	pangenome
2	1184	shared
2	852	new
2	2786	pangenome
2	1377	shared
2	659	new
2	2774	pangenome
2	1449	shared
2	708	new
2	2900	pangenome
2	2183	shared
2	9	new
2	2205	pangenome
2	1394	shared
2	798	new
2	2834	pangenome
2	1377	shared
2	738	new
2	2774	pangenome
2	1397	shared
2	639	new
2	2834	pangenome
2	1490	shared
2	502	new
2	2694	pangenome
2	1395	shared
2	801	new
2	2837	pangenome
2	1375	shared
2	661	new
2	2776	pangenome
2	1185	shared
2	749	new
2	2785	pangenome
2	1481	shared
2	749	new
2	2741	pangenome
2	1743	shared
2	487	new
2	2679	pangenome
2	1426	shared
2	731	new
2	2961	pangenome
2	1515	shared
2	521	new
2	2678	pangenome
2	2030	shared
2	6	new
2	2042	pangenome
2	1178	shared
2	979	new
2	2913	pangenome
2	1733	shared
2	382	new
2	2578	pangenome
2	1393	shared
2	803	new
2	2839	pangenome
2	1185	shared
2	749	new
2	2785	pangenome
2	2028	shared
2	8	new
2	2044	pangenome
2	2028	shared
2	8	new
2	2044	pangenome
2	1454	shared
2	538	new
2	2574	pangenome
2	1488	shared
2	627	new
2	2619	pangenome
2	1399	shared
2	637	new
2	2867	pangenome
2	1733	shared
2	463	new
2	2578	pangenome
2	1185	shared
2	851	new
2	2785	pangenome
2	1252	shared
2	740	new
2	2674	pangenome
2	1396	shared
2	640	new
2	2870	pangenome
2	1481	shared
2	749	new
2	2741	pangenome
2	1872	shared
2	243	new
2	2473	pangenome
2	1481	shared
2	511	new
2	2741	pangenome
2	1744	shared
2	486	new
2	2682	pangenome
2	1188	shared
2	1004	new
2	2938	pangenome
2	1426	shared
2	804	new
2	2961	pangenome
2	1488	shared
2	627	new
2	2619	pangenome
2	1744	shared
2	486	new
2	2681	pangenome
2	1397	shared
2	833	new
2	2869	pangenome
2	2030	shared
2	6	new
2	2042	pangenome
2	1391	shared
2	801	new
2	2837	pangenome
2	1454	shared
2	538	new
2	2574	pangenome
2	1733	shared
2	382	new
2	2578	pangenome
2	1399	shared
2	831	new
2	2867	pangenome
2	1377	shared
2	659	new
2	2774	pangenome
2	1175	shared
2	940	new
2	2874	pangenome
2	1392	shared
2	644	new
2	2840	pangenome
2	1451	shared
2	745	new
2	2902	pangenome
2	1490	shared
2	502	new
2	2694	pangenome
2	1191	shared
2	743	new
2	2938	pangenome
2	1394	shared
2	798	new
2	2834	pangenome
2	1394	shared
2	642	new
2	2837	pangenome
2	1188	shared
2	746	new
2	2942	pangenome
2	1872	shared
2	243	new
2	2473	pangenome
2	2190	shared
2	2	new
2	2197	pangenome
2	1474	shared
2	518	new
2	2675	pangenome
2	2030	shared
2	6	new
2	2042	pangenome
2	1393	shared
2	803	new
2	2839	pangenome
2	1491	shared
2	501	new
2	2697	pangenome
2	1493	shared
2	702	new
2	2694	pangenome
2	1397	shared
2	798	new
2	2834	pangenome
2	1733	shared
2	382	new
2	2578	pangenome
2	1488	shared
2	504	new
2	2619	pangenome
2	1732	shared
2	463	new
2	2578	pangenome
2	1377	shared
2	659	new
2	2774	pangenome
2	1178	shared
2	756	new
2	2913	pangenome
2	1491	shared
2	705	new
2	2697	pangenome
2	1391	shared
2	645	new
2	2837	pangenome
2	1375	shared
2	740	new
2	2776	pangenome
2	1455	shared
2	537	new
2	2573	pangenome
2	2183	shared
2	9	new
2	2205	pangenome
2	1184	shared
2	750	new
2	2786	pangenome
2	1426	shared
2	731	new
2	2961	pangenome
2	1397	shared
2	833	new
2	2869	pangenome
2	1188	shared
2	1008	new
2	2942	pangenome
2	1449	shared
2	708	new
2	2900	pangenome
2	1744	shared
2	486	new
2	2682	pangenome
2	1397	shared
2	833	new
2	2869	pangenome
2	2190	shared
2	5	new
2	2197	pangenome
2	1516	shared
2	520	new
2	2677	pangenome
2	2028	shared
2	8	new
2	2044	pangenome
2	1474	shared
2	518	new
2	2675	pangenome
2	1397	shared
2	639	new
2	2869	pangenome
2	2030	shared
2	6	new
2	2042	pangenome
2	1454	shared
2	538	new
2	2574	pangenome
3	1389	shared
3	668	new
3	3349	pangenome
3	1337	shared
3	384	new
3	3221	pangenome
3	1393	shared
3	8	new
3	2845	pangenome
3	1389	shared
3	388	new
3	3349	pangenome
3	1453	shared
3	6	new
3	2580	pangenome
3	1147	shared
3	701	new
3	3382	pangenome
3	1395	shared
3	4	new
3	2874	pangenome
3	1335	shared
3	381	new
3	3221	pangenome
3	1437	shared
3	455	new
3	3136	pangenome
3	1391	shared
3	5	new
3	2842	pangenome
3	2182	shared
3	1	new
3	2206	pangenome
3	1391	shared
3	8	new
3	2842	pangenome
3	1333	shared
3	523	new
3	3217	pangenome
3	1391	shared
3	8	new
3	2842	pangenome
3	1362	shared
3	324	new
3	3100	pangenome
3	1397	shared
3	831	new
3	2875	pangenome
3	1341	shared
3	594	new
3	3269	pangenome
3	1122	shared
3	518	new
3	3192	pangenome
3	1375	shared
3	737	new
3	2779	pangenome
3	1186	shared
3	744	new
3	2949	pangenome
3	1514	shared
3	641	new
3	2683	pangenome
3	1334	shared
3	405	new
3	3181	pangenome
3	1392	shared
3	3	new
3	2843	pangenome
3	1188	shared
3	6	new
3	2948	pangenome
3	1391	shared
3	2	new
3	2839	pangenome
3	1333	shared
3	523	new
3	3217	pangenome
3	1389	shared
3	449	new
3	3349	pangenome
3	1326	shared
3	575	new
3	3149	pangenome
3	1336	shared
3	380	new
3	3217	pangenome
3	1147	shared
3	444	new
3	3382	pangenome
3	1333	shared
3	686	new
3	3259	pangenome
3	1515	shared
3	641	new
3	2683	pangenome
3	1383	shared
3	663	new
3	3241	pangenome
3	1741	shared
3	484	new
3	2689	pangenome
3	1136	shared
3	343	new
3	3285	pangenome
3	1394	shared
3	798	new
3	2842	pangenome
3	1310	shared
3	500	new
3	3340	pangenome
3	1134	shared
3	343	new
3	3281	pangenome
3	1393	shared
3	8	new
3	2845	pangenome
3	1360	shared
3	423	new
3	3100	pangenome
3	1332	shared
3	602	new
3	3178	pangenome
3	1334	shared
3	518	new
3	3259	pangenome
3	1741	shared
3	7	new
3	2689	pangenome
3	1343	shared
3	575	new
3	3272	pangenome
3	1308	shared
3	438	new
3	3338	pangenome
3	1365	shared
3	624	new
3	3097	pangenome
3	1437	shared
3	442	new
3	3136	pangenome
3	1334	shared
3	645	new
3	3218	pangenome
3	1326	shared
3	530	new
3	3149	pangenome
3	1730	shared
3	382	new
3	2579	pangenome
3	1452	shared
3	535	new
3	2577	pangenome
3	1289	shared
3	604	new
3	3281	pangenome
3	1165	shared
3	334	new
3	3208	pangenome
3	1362	shared
3	230	new
3	3100	pangenome
3	1392	shared
3	6	new
3	2843	pangenome
3	1311	shared
3	437	new
3	3337	pangenome
3	1381	shared
3	393	new
3	3240	pangenome
3	1332	shared
3	341	new
3	3178	pangenome
3	1454	shared
3	5	new
3	2578	pangenome
3	1391	shared
3	5	new
3	2842	pangenome
3	1336	shared
3	523	new
3	3217	pangenome
3	1437	shared
3	457	new
3	3139	pangenome
3	1348	shared
3	438	new
3	3278	pangenome
3	1334	shared
3	603	new
3	3181	pangenome
3	1337	shared
3	405	new
3	3178	pangenome
3	1393	shared
3	6	new
3	2845	pangenome
3	1391	shared
3	5	new
3	2844	pangenome
3	1392	shared
3	642	new
3	2847	pangenome
3	1122	shared
3	408	new
3	3194	pangenome
3	1393	shared
3	11	new
3	2845	pangenome
3	1389	shared
3	669	new
3	3351	pangenome
3	1394	shared
3	639	new
3	2836	pangenome
3	1391	shared
3	2	new
3	2839	pangenome
3	1397	shared
3	831	new
3	2875	pangenome
3	1392	shared
3	4	new
3	2841	pangenome
3	1333	shared
3	523	new
3	3217	pangenome
3	1308	shared
3	436	new
3	3336	pangenome
3	1337	shared
3	342	new
3	3176	pangenome
3	1122	shared
3	407	new
3	3192	pangenome
3	1349	shared
3	408	new
3	3277	pangenome
3	2182	shared
3	1	new
3	2206	pangenome
3	1742	shared
3	7	new
3	2689	pangenome
3	1389	shared
3	4	new
3	2841	pangenome
3	1677	shared
3	291	new
3	2869	pangenome
3	1742	shared
3	8	new
3	2689	pangenome
3	1335	shared
3	392	new
3	3259	pangenome
3	1071	shared
3	681	new
3	3466	pangenome
3	1383	shared
3	341	new
3	3241	pangenome
3	1360	shared
3	423	new
3	3101	pangenome
3	1395	shared
3	4	new
3	2874	pangenome
3	1072	shared
3	633	new
3	3503	pangenome
3	1742	shared
3	1	new
3	2682	pangenome
3	1331	shared
3	654	new
3	3329	pangenome
3	1128	shared
3	377	new
3	3319	pangenome
3	1128	shared
3	622	new
3	3319	pangenome
3	1333	shared
3	686	new
3	3259	pangenome
3	1676	shared
3	291	new
3	2867	pangenome
3	1062	shared
3	637	new
3	3410	pangenome
3	1183	shared
3	5	new
3	2791	pangenome
3	1390	shared
3	11	new
3	2848	pangenome
3	1075	shared
3	627	new
3	3540	pangenome
4	1042	shared
4	508	new
4	3889	pangenome
4	1310	shared
4	10	new
4	3347	pangenome
4	1347	shared
4	438	new
4	3279	pangenome
4	1068	shared
4	528	new
4	3468	pangenome
4	1311	shared
4	3	new
4	3341	pangenome
4	1299	shared
4	7	new
4	3390	pangenome
4	1061	shared
4	3	new
4	3415	pangenome
4	1334	shared
4	6	new
4	3223	pangenome
4	1044	shared
4	583	new
4	3800	pangenome
4	1280	shared
4	407	new
4	3756	pangenome
4	1046	shared
4	583	new
4	3804	pangenome
4	1310	shared
4	7	new
4	3347	pangenome
4	1280	shared
4	420	new
4	3760	pangenome
4	1282	shared
4	447	new
4	3668	pangenome
4	1675	shared
4	291	new
4	2876	pangenome
4	1360	shared
4	527	new
4	3104	pangenome
4	1038	shared
4	385	new
4	3795	pangenome
4	1308	shared
4	2	new
4	3340	pangenome
4	1280	shared
4	484	new
4	3756	pangenome
4	1308	shared
4	4	new
4	3341	pangenome
4	1334	shared
4	403	new
4	3183	pangenome
4	1042	shared
4	423	new
4	3889	pangenome
4	1070	shared
4	6	new
4	3476	pangenome
4	1072	shared
4	7	new
4	3551	pangenome
4	1305	shared
4	424	new
4	3641	pangenome
4	1392	shared
4	798	new
4	2844	pangenome
4	1264	shared
4	502	new
4	3602	pangenome
4	1311	shared
4	7	new
4	3343	pangenome
4	1136	shared
4	7	new
4	3289	pangenome
4	1308	shared
4	436	new
4	3347	pangenome
4	1452	shared
4	4	new
4	2581	pangenome
4	1349	shared
4	408	new
4	3283	pangenome
4	1038	shared
4	511	new
4	3793	pangenome
4	1070	shared
4	629	new
4	3476	pangenome
4	1030	shared
4	393	new
4	3933	pangenome
4	1037	shared
4	326	new
4	3736	pangenome
4	1046	shared
4	612	new
4	3804	pangenome
4	1280	shared
4	484	new
4	3759	pangenome
4	1391	shared
4	4	new
4	2851	pangenome
4	1489	shared
4	499	new
4	2705	pangenome
4	1349	shared
4	8	new
4	3283	pangenome
4	1675	shared
4	7	new
4	2876	pangenome
4	1303	shared
4	369	new
4	3640	pangenome
4	1349	shared
4	438	new
4	3280	pangenome
4	1030	shared
4	596	new
4	3934	pangenome
4	1046	shared
4	586	new
4	3845	pangenome
4	1134	shared
4	9	new
4	3290	pangenome
4	1033	shared
4	467	new
4	3933	pangenome
4	1319	shared
4	367	new
4	3464	pangenome
4	1280	shared
4	449	new
4	3666	pangenome
4	1283	shared
4	448	new
4	3666	pangenome
4	1072	shared
4	715	new
4	3506	pangenome
4	1042	shared
4	372	new
4	3858	pangenome
4	1042	shared
4	615	new
4	3889	pangenome
4	1334	shared
4	524	new
4	3229	pangenome
4	1282	shared
4	331	new
4	3670	pangenome
4	1289	shared
4	3	new
4	3284	pangenome
4	1091	shared
4	344	new
4	3626	pangenome
4	1273	shared
4	316	new
4	3654	pangenome
4	1042	shared
4	615	new
4	3889	pangenome
4	1308	shared
4	436	new
4	3347	pangenome
4	1362	shared
4	4	new
4	3104	pangenome
4	1072	shared
4	716	new
4	3507	pangenome
4	1375	shared
4	4	new
4	2783	pangenome
4	1298	shared
4	310	new
4	3531	pangenome
4	1273	shared
4	459	new
4	3718	pangenome
4	1121	shared
4	2	new
4	3196	pangenome
4	1381	shared
4	9	new
4	3249	pangenome
4	1489	shared
4	1	new
4	2705	pangenome
4	1337	shared
4	598	new
4	3183	pangenome
4	1345	shared
4	4	new
4	3278	pangenome
4	1036	shared
4	326	new
4	3792	pangenome
4	1070	shared
4	629	new
4	3470	pangenome
4	1264	shared
4	399	new
4	3602	pangenome
4	1391	shared
4	4	new
4	2851	pangenome
4	1674	shared
4	291	new
4	2876	pangenome
4	1043	shared
4	333	new
4	3799	pangenome
4	1128	shared
4	377	new
4	3325	pangenome
4	1296	shared
4	510	new
4	3527	pangenome
4	1389	shared
4	447	new
4	3357	pangenome
4	1030	shared
4	596	new
4	3932	pangenome
4	1334	shared
4	5	new
4	3186	pangenome
4	1068	shared
4	6	new
4	3475	pangenome
4	1047	shared
4	608	new
4	3800	pangenome
4	1073	shared
4	6	new
4	3508	pangenome
4	1283	shared
4	327	new
4	3664	pangenome
4	1122	shared
4	5	new
4	3199	pangenome
4	1675	shared
4	7	new
4	2876	pangenome
4	1303	shared
4	424	new
4	3645	pangenome
4	1043	shared
4	607	new
4	3799	pangenome
4	1289	shared
4	602	new
4	3285	pangenome
4	1016	shared
4	530	new
4	3883	pangenome
4	1283	shared
4	563	new
4	3666	pangenome
4	1070	shared
4	629	new
4	3470	pangenome
4	1327	shared
4	278	new
4	3459	pangenome
4	1102	shared
4	674	new
4	3360	pangenome
4	1335	shared
4	647	new
4	3224	pangenome
4	1335	shared
4	339	new
4	3184	pangenome
4	1333	shared
4	389	new
4	3262	pangenome
4	1325	shared
4	278	new
4	3456	pangenome
4	1346	shared
4	594	new
4	3276	pangenome
5	1370	shared
5	655	new
5	3531	pangenome
5	1036	shared
5	4	new
5	3739	pangenome
5	1362	shared
5	4	new
5	3107	pangenome
5	1247	shared
5	433	new
5	3960	pangenome
5	1271	shared
5	4	new
5	3656	pangenome
5	1280	shared
5	420	new
5	3763	pangenome
5	1023	shared
5	323	new
5	4218	pangenome
5	1264	shared
5	4	new
5	3606	pangenome
5	1036	shared
5	323	new
5	3738	pangenome
5	1292	shared
5	162	new
5	3807	pangenome
5	1294	shared
5	349	new
5	3530	pangenome
5	1046	shared
5	606	new
5	3802	pangenome
5	1296	shared
5	310	new
5	3534	pangenome
5	1034	shared
5	311	new
5	4045	pangenome
5	1280	shared
5	482	new
5	3764	pangenome
5	1036	shared
5	511	new
5	3801	pangenome
5	1032	shared
5	5	new
5	3942	pangenome
5	1100	shared
5	359	new
5	3750	pangenome
5	1017	shared
5	311	new
5	4102	pangenome
5	1023	shared
5	369	new
5	4213	pangenome
5	1389	shared
5	3	new
5	2855	pangenome
5	1296	shared
5	3	new
5	3534	pangenome
5	1019	shared
5	580	new
5	4156	pangenome
5	1280	shared
5	7	new
5	3677	pangenome
5	1036	shared
5	323	new
5	3738	pangenome
5	1346	shared
5	10	new
5	3287	pangenome
5	1282	shared
5	449	new
5	3676	pangenome
5	1302	shared
5	506	new
5	3651	pangenome
5	1271	shared
5	315	new
5	3655	pangenome
5	1282	shared
5	567	new
5	3672	pangenome
5	1304	shared
5	382	new
5	3647	pangenome
5	1067	shared
5	11	new
5	3480	pangenome
5	1035	shared
5	614	new
5	3801	pangenome
5	1310	shared
5	501	new
5	3353	pangenome
5	1334	shared
5	2	new
5	3188	pangenome
5	1283	shared
5	5	new
5	3671	pangenome
5	1301	shared
5	5	new
5	3650	pangenome
5	1042	shared
5	4	new
5	3893	pangenome
5	1297	shared
5	310	new
5	3537	pangenome
5	1303	shared
5	366	new
5	3649	pangenome
5	1032	shared
5	584	new
5	3941	pangenome
5	1391	shared
5	10	new
