gene	B32_SW	B91_SC	B91_SCBr	B91_TPP	CAM	129_MSG	129_VTPP	129_VTPPs	CC57c	ATCC51146	CSUNSWCD	C_jejuni_ATCC_700819
acpC	1	0	0	0	0	1	1	1	1	1	1	0
acpXL	1	1	1	1	1	1	1	1	1	1	1	1
algC	1	1	1	1	1	1	1	1	1	1	1	1
algW	1	1	1	1	1	1	1	1	1	1	1	1
bplC	1	1	1	1	1	1	1	1	1	1	1	1
cadF	1	1	1	1	1	1	1	1	1	1	1	1
cap8M	0	0	0	0	0	0	0	0	0	0	0	1
cap8O	0	1	1	1	0	0	0	0	1	0	0	0
cdtA	0	0	0	0	0	0	0	0	0	0	0	1
cdtB	0	0	0	0	0	0	0	0	0	0	0	1
cdtC	0	0	0	0	0	0	0	0	0	0	0	1
cheA	1	1	1	1	1	1	1	1	1	1	1	1
cheV	1	1	1	1	1	1	1	1	1	1	1	1
cheW	1	1	1	1	1	1	1	1	1	1	1	1
cheY	1	1	1	1	1	1	1	1	1	1	1	1
ciaB	1	1	1	1	1	1	1	1	1	1	1	1
ciaC	0	0	0	0	0	0	0	0	0	0	0	1
Cj1135	0	0	0	0	0	0	0	0	0	0	0	1
Cj1136	0	0	0	0	0	0	0	0	0	0	0	1
Cj1137c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1138	0	0	0	0	0	0	0	0	0	0	0	1
Cj1416c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1417c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1419c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1420c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1421c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1422c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1426c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1427c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1432c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1434c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1435c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1436c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1437c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1438c	0	0	0	0	0	0	0	0	0	0	0	1
Cj1440c	0	0	0	0	0	0	0	0	0	0	0	1
clpC	1	1	1	1	1	1	1	1	0	1	1	1
clpP	1	1	1	1	1	1	1	1	1	1	1	1
cps4I	0	1	1	1	0	0	0	0	1	0	0	0
cpsA	1	1	1	1	1	1	1	1	1	1	1	0
cstIII	0	0	0	0	0	0	0	0	0	0	0	1
cylG	1	1	1	1	1	1	1	1	1	1	1	1
cysC	0	0	0	0	0	0	0	0	0	0	0	1
eptC	1	1	1	1	1	1	1	1	1	1	1	1
fabZ	1	1	1	1	1	1	1	1	1	1	1	1
fcl	0	0	0	0	0	0	0	0	0	0	0	1
flaA	1	1	1	1	1	1	1	1	1	1	1	1
flaB	0	0	0	0	0	0	0	0	0	0	0	1
flaC	1	1	1	1	1	1	1	1	1	1	1	1
flaD	1	1	1	1	1	1	1	1	1	1	1	1
flaG	1	1	1	1	1	1	1	1	1	1	1	1
flgA	0	0	0	0	0	0	0	0	0	0	0	1
flgB	1	1	1	1	1	1	1	1	1	1	1	1
flgC	1	1	1	1	1	1	1	1	1	1	1	1
flgD	0	0	0	0	0	0	0	0	0	0	0	1
flgE	0	0	0	0	1	0	0	0	0	0	1	1
flgE_1	1	0	0	0	0	1	1	1	0	0	0	0
flgF	1	1	1	1	1	1	1	1	1	1	1	1
flgG	1	1	1	1	1	1	1	1	1	1	1	1
flgH	1	1	1	1	1	1	1	1	1	1	1	1
flgI	1	1	1	1	1	1	1	1	1	1	1	1
flgJ	0	0	0	0	0	0	0	0	0	0	0	1
flgK	1	1	1	1	1	1	1	1	1	1	1	1
flgM	0	0	0	0	0	0	0	0	0	0	0	1
flgP	1	1	1	1	1	1	1	1	1	1	1	1
flgR	1	1	1	1	1	1	1	1	1	1	1	1
flgS	1	1	1	1	1	1	1	1	1	0	1	1
flhA	1	1	1	1	1	1	1	1	1	1	1	1
flhB	1	1	1	1	1	1	1	1	1	1	1	1
flhF	1	1	1	1	1	1	1	1	1	1	1	1
flhG	1	1	1	1	1	1	1	1	1	1	1	1
fliA	1	1	1	1	1	1	1	1	1	1	1	1
fliD	0	0	0	0	0	0	0	0	0	0	0	1
fliE	1	1	1	1	1	1	1	1	1	1	1	1
fliF	1	1	1	1	1	1	1	1	0	1	1	1
fliG	1	1	1	1	1	1	1	1	1	1	1	1
fliH	1	1	1	1	1	1	1	1	1	1	1	1
fliI	1	1	1	1	1	1	1	1	1	1	1	1
fliK	0	0	0	0	0	0	0	0	0	0	0	1
fliL	1	1	1	1	1	1	1	1	0	1	1	1
fliM	1	1	1	1	1	1	1	1	1	1	1	1
fliN	1	1	1	1	1	1	1	1	1	1	1	1
fliP	1	1	1	1	1	1	1	1	1	1	1	1
fliQ	1	1	1	1	1	1	1	1	1	1	1	1
fliR	1	1	1	1	1	1	1	1	1	1	1	1
fliS	1	1	1	1	1	1	1	1	1	1	1	1
fliW	1	1	1	1	1	1	1	1	1	1	1	1
fliY	1	1	1	1	1	1	1	1	1	1	1	1
glf	0	0	0	0	0	0	0	0	0	0	0	1
gluE	1	1	1	1	1	1	1	1	1	1	1	1
gmhA	1	1	1	1	1	1	1	1	1	1	1	1
gmhA2	0	0	0	0	0	0	0	0	0	0	0	1
gmhB	0	1	1	1	1	1	1	1	1	1	0	1
hasC	1	1	1	1	1	1	1	1	1	1	1	1
hcp-2	0	0	0	0	1	0	0	0	0	0	0	0
hddA	0	0	0	0	0	0	0	0	0	0	0	1
hddC	0	0	0	0	0	0	0	0	0	0	0	1
hgpC	1	1	1	1	1	0	0	0	0	1	1	0
hhuA	0	0	0	0	0	1	1	1	1	0	0	0
hldD	1	1	1	1	1	1	1	1	0	1	1	1
hldE	1	1	1	1	1	1	1	1	1	1	1	1
hlyB	0	1	1	1	0	0	0	0	1	0	0	0
htpB	1	1	1	1	1	1	1	1	0	1	1	1
htrB	1	1	1	1	1	1	1	1	1	1	1	1
IlpA	0	1	1	1	0	0	0	0	0	0	0	0
jlpA	0	0	0	0	0	0	0	0	0	0	0	1
katA	1	0	0	0	1	1	1	1	1	1	1	1
kdsA	1	1	1	1	1	1	1	1	1	1	1	1
kdsB	1	1	1	1	1	1	1	1	1	1	0	0
kdtB	1	1	1	1	1	1	1	1	1	1	1	1
kfiD	0	0	0	0	0	0	0	0	0	0	0	1
kpsC	0	0	0	0	0	0	0	0	0	0	0	1
kpsD	0	0	0	0	0	0	0	0	0	0	0	1
kpsE	0	0	0	0	0	0	0	0	0	0	0	1
kpsF	1	1	1	1	1	1	1	1	1	1	1	1
kpsM	0	0	0	0	0	0	0	0	0	0	0	1
kpsS	0	0	0	0	0	0	0	0	0	0	0	1
kpsT	0	0	0	0	0	0	0	0	0	0	0	1
lpg2359	1	1	1	1	1	1	1	1	1	1	1	1
lpxA	1	1	1	1	1	1	1	1	1	1	1	1
lpxB	1	1	1	1	1	1	1	1	1	1	1	1
lpxC	1	1	1	1	1	1	1	1	1	1	1	1
maf4	0	0	0	0	0	0	0	0	0	0	0	1
motA	0	0	0	0	0	0	0	0	0	0	0	1
motB	0	0	0	0	0	0	0	0	0	0	0	1
napA	1	1	1	1	1	1	1	1	1	1	1	1
neuA1	0	0	0	0	0	0	0	0	0	0	0	1
neuB	0	0	0	0	0	0	0	0	0	0	0	1
neuB1	0	0	0	0	0	0	0	0	0	0	0	1
neuC1	0	0	0	0	0	0	0	0	0	0	0	1
orfM	0	0	0	0	0	0	0	0	1	0	0	1
paa	0	0	0	0	0	0	0	0	0	0	0	1
pdxA	0	0	0	0	0	0	0	0	0	0	0	1
pdxJ	0	0	0	0	0	0	0	0	0	0	0	1
pebA	0	0	0	0	0	0	0	0	0	0	0	1
pflA	0	0	0	0	0	0	0	0	0	0	0	1
phzC1	1	1	1	1	1	1	1	1	1	1	1	0
pilT	1	1	1	1	1	1	1	1	1	1	1	0
porA	0	0	0	0	0	0	0	0	0	0	0	1
pseA	0	0	0	0	0	0	0	0	0	0	0	1
