	# contigs (>= 0 bp)	Largest contig	Total length (>= 0 bp)	N50	% (Longest contig lenght/Total Length)	% (N50/Total Length)	% Complete	% error free
B32_SW	2	"2,157,093"	"2,308,370"	"2,157,093"	93.45	93.45	98.3	86.36
B91_SC	1	"2,160,580"	"2,160,580"	"2,160,580"	100.00	100.00	98.0	79.44
B91_SCBr	4	1586030	"2,138,501"	1586030	74.17	74.17	98.0	91.87
B91_TPP	6	"2,131,013"	"2,149,118"	"2,131,013"	99.16	99.16	98.0	94.45
CAM	3	"2,162,358"	"2,502,981"	"2,162,358"	86.39	86.39	98.3	0
129_MSG	4	1295828	"2,243,050"	1295828	57.77	57.77	98.0	88.42
129_VTPP	2	"1,697,095"	"2,592,634"	"1,697,095"	65.46	65.46	98.3	63.62
129_VTPPs	2	"2,166,083"	"2,240,249"	"2,166,083"	96.69	96.69	98.3	91.37
CC57c	274	"65,929"	"2,192,767"	"16,877"	3.01	0.77	92.9	0
ATCC51146	1	"2,097,888"	"2,097,888"	"2,097,888"	100.00	100.00	98.3	0
CSUNSWCD	23	"401,824"	"2,125,173"	"209,023"	18.91	9.84	97.6	0
