centroid	uniref90	B32_SW	129_VTPPs	CC57c	B91_TPP	ATCC51146	129_MSG	CSUNSWCD	B91_SC	CAM	129_VTPP	B91_SCBr
PROKKA_B32_SW_01136 	UniRef90_B9D4C5|924	1	0	1	0	0	0	1	0	0	0	0
PROKKA_B91_SCBr_01137 	UniRef90_C6RIA4|345	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01017 	UniRef90_A0RM16|330	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_02108 	UniRef90_M5IFU4|1116	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_02109 	UniRef90_B9CYA6|1143	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01262 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_02106 	UniRef90_A7GVT2|1671	1	1	0	0	0	1	1	0	0	1	0
PROKKA_B32_SW_02107 	UniRef90_M5IQL6|918	1	0	0	0	0	0	1	0	0	0	0
PROKKA_129_VTPP_00724 	UniRef90_M5IRC5|237	0	0	0	0	0	0	0	0	0	1	0
PROKKA_129_MSG_01556 	UniRef90_B9D190|243	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01728 	UniRef90_M5IRB0|579	1	0	0	0	0	0	1	0	0	0	0
PROKKA_CAM_01848 	UniRef90_M3J8D7|483	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00514 	No_Uniref	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B32_SW_01721 	UniRef90_U2F1W0|471	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_01962 	UniRef90_A7ZG08|279	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00396 	UniRef90_C6RG56|480	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01847 	UniRef90_C6RG47|1845	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01844 	UniRef90_B9D1Y8|1299	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01964 	UniRef90_A7ZG06|696	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01364 	UniRef90_B9CZ90|1164	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00389 	UniRef90_M3I3V1|1707	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_02144 	UniRef90_A7H0G6|645	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01368 	UniRef90_C6RGP9|729	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_00829 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_01929 	UniRef90_M5IEA9|1245	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01567 	UniRef90_J5KX41|234	0	0	1	0	0	0	1	0	0	0	0
PROKKA_CC57c_01566 	UniRef90_M3J9R5|771	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_VTPPs_01522 	UniRef90_M3H0S0|192	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CC57c_01564 	UniRef90_M3IJ74|396	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02298 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02299 	UniRef90_U2GKQ8|1200	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_01561 	UniRef90_M5IT88|252	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_01560 	UniRef90_M3JBP2|345	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02294 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02295 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_01573 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01572 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B32_SW_02290 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_01574 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
